SPECID,COMMENT_FLAG,COMMENT
G15_Y4_226_013,512,"bad splicing"                        
G15_Y4_226_382,512,"bad splicing"                        
G15_Y4_227_199,512,"bad splicing"                        
G15_Y4_227_294,512,"bad splice"                          
G15_Y4_228_390,512,"large mismatch in data"              
G15_Y4_230_057,512,"bad splice"                          
G15_Y4_230_071,512,"bad splice"                          
G15_Y4_230_074,512,"bad splice"                          
G15_Y4_230_081,512,"bad splice"                          
G15_Y4_230_088,512,"bad splice"                          
G15_Y4_231_020,512,"poor splice"                         
G15_Y4_231_080,512,"bad splicing"                        
G15_Y4_231_096,512,"poor splice"                         
G15_Y4_231_140,512,"bad splice"                          
G15_Y4_232_014,512,"bad splice"                          
G15_Y4_232_122,512,"bad splicing noisier blue sie"       
G15_Y4_232_319,512,"bad splicing noisy blue side"        
G15_Y4_235_018,512,"bad splicing"                        
G15_Y4_236_039,512,"poor splice"                         
G15_Y4_236_119,512,"bad splice"                          
G15_Y4_236_128,512,"poor splice"                         
G15_Y4_236_238,512,"bad splice"                          
G15_Y4_236_248,512,"bad splicing"                        
G15_Y4_236_257,512,"bad splicing"                        
G15_Y4_236_258,512,"bad splice"                          
G15_Y4_236_299,512,"bad splicing"                        
G15_Y4_237_020,512,"bad splice"                          
G15_Y4_237_024,512,"bad splice"                          
G15_Y4_237_032,512,"bad splice"                          
G15_Y4_237_079,512,"bad splice"                          
G15_Y4_238_101,512,"poor splice"                         
G15_Y4_238_151,512,"bad splice"                          
G15_Y4_238_156,512,"bad splicing"                        
G15_Y4_238_320,512,"bad splicing"                        
G15_Y5_002_006,512,"bad splicing"                        
G15_Y5_002_024,512,"bad splicing"                        
G15_Y5_002_025,512,"bad splicing"                        
G15_Y5_002_026,512,"bad splicing"                        
G15_Y5_002_030,512,"bad splicing"                        
G15_Y5_002_035,512,"bad splicing"                        
G15_Y5_002_036,512,"bad splicing"                        
G15_Y5_002_041,512,"bad splicing"                        
G15_Y5_002_042,512,"bad splicing"                        
G15_Y5_002_054,512,"bad splicing"                        
G15_Y5_002_065,512,"bad splicing"                        
G15_Y5_002_066,512,"bad splicing"                        
G15_Y5_002_069,512,"bad splicing"                        
G15_Y5_002_070,512,"bad splicing"                        
G15_Y5_002_073,512,"bad splicing"                        
