SPECID,SCORE
G12_Y6_070_018,0.0051801065
G15_Y3_036_029,0.0051779817
G15_Y2_011_219,0.005175064
G02_Y4_021_058,0.0051711546
G15_Y3_008_109,0.0051664943
G15_Y3_002_132,0.005164994
G12_Y1_DN1_355,0.0051596602
G09_Y1_DX1_245,0.005149658
G02_Y3_019_184,0.0051492658
G15_Y1_IN1_359,0.0051467717
G09_Y1_AS1_123,0.0051441435
G15_Y2_020_385,0.0051429067
G12_Y6_054_257,0.0051406105
G02_Y3_015_104,0.00514001
G15_Y1_CN2_364,0.005134407
G09_Y4_207_355,0.0051330426
G09_Y1_CN2_315,0.005129146
G02_Y5_075_161,0.005127866
G02_Y5_109_146,0.0051243
G09_Y2_026_229,0.0051235287
G15_Y1_DS2_034,0.0051230337
G12_Y6_086_091,0.0051207873
G15_Y3_047_035,0.005120572
G15_Y1_FN2_029,0.005119215
G12_Y1_FND1_285,0.005118494
G09_Y4_212_208,0.0051179007
G02_Y3_014_201,0.005116793
G02_Y3_019_289,0.0051167533
G15_Y1_FS2_391,0.005114422
G09_Y2_011_094,0.005114236
G02_Y6_002_045,0.0051114885
G12_Y3_011_104,0.0051086433
G09_Y4_212_388,0.0051054293
G02_Y5_114_257,0.0051037874
G12_Y5_020_299,0.0051011136
G15_Y3_011_277,0.005100347
G12_Y1_FS1_147,0.005099144
G09_Y1_GN2_116,0.0050950944
G15_Y4_212_072,0.005094645
G09_Y1_DN2_281,0.00509139
G15_Y1_AN2_025,0.0050904145
G02_Y4_042_280,0.0050886697
G09_Y4_246_193,0.0050856075
G02_Y3_019_326,0.0050852336
G15_Y1_IS2_007,0.0050852257
G15_Y1_AN2_248,0.005083639
G02_Y5_080_251,0.005083313
G02_Y3_013_333,0.005082963
G02_Y4_040_064,0.0050773863
G12_Y6_080_246,0.005076725
G15_Y3_038_294,0.005076377
G15_Y6_088_158,0.0050740317
G02_Y3_019_213,0.0050737327
G02_Y6_004_128,0.0050665406
G12_Y3_007_198,0.005061675
G02_Y6_008_052,0.005061441
G15_Y1_GX2_014,0.005060942
G09_Y1_FN2_365,0.00505956
G09_Y4_215_208,0.0050575538
G09_Y1_CX2_274,0.0050537726
G15_Y6_100_357,0.005052518
G15_Y3_007_333,0.0050520124
G02_Y5_109_179,0.0050506825
G02_Y4_043_122,0.005050245
G15_Y3_012_008,0.0050474713
G12_Y1_HD1_372,0.005044869
G15_Y4_234_096,0.005040854
G12_Y5_011_176,0.0050316043
G15_Y3_038_197,0.0050315913
G15_Y4_216_054,0.005028949
G15_Y4_211_393,0.0050282734
G12_Y5_023_010,0.0050275484
G09_Y1_GS1_364,0.0050251484
G09_Y4_223_323,0.00502419
G09_Y2_015_170,0.0050239433
G02_Y6_002_071,0.0050219083
G15_Y4_204_148,0.0050207786
G09_Y5_051_042,0.0050197667
G12_Y2_018_011,0.0050192
G09_Y2_014_085,0.0050177462
G02_Y3_020_081,0.0050144964
G15_Y1_FS2_086,0.00501318
G12_Y2_003_143,0.0050119176
G02_Y6_009_131,0.005008356
G12_Y1_DN1_292,0.0050074575
G15_Y3_004_037,0.005007295
G02_Y5_084_390,0.0050028507
G02_Y4_032_385,0.005002706
G15_Y6_099_081,0.0050025387
G09_Y4_261_241,0.004997693
G09_Y3_007_062,0.004995496
G15_Y6_085_018,0.004994559
G15_Y1_BS2_010,0.0049937237
G12_Y3_008_229,0.0049897255
G12_Y3_009_258,0.004986612
G15_Y1_CS2_084,0.004983673
G09_Y4_214_372,0.004982102
G12_Y3_009_119,0.0049795676
G12_Y2_033_098,0.004974889
G12_Y1_BS1_293,0.004974582
G15_Y1_CS2_038,0.0049738586
G15_Y4_213_396,0.0049724584
G15_Y6_093_072,0.004967353
G15_Y1_GN2_394,0.004967322
G15_Y4_234_279,0.0049655307
G02_Y4_034_279,0.004965522
G12_Y1_IS1_139,0.0049576955
G15_Y1_FN1_278,0.0049556363
G09_Y1_test_129,0.0049549076
G15_Y6_084_342,0.004950762
G15_Y3_050_072,0.004939492
G12_Y5_005_141,0.004938581
G15_Y4_202_177,0.004938285
G15_Y5_004_349,0.0049376423
G09_Y4_207_181,0.004935953
G12_Y4_202_004,0.0049354434
G09_Y2_028_189,0.004935017
G15_Y3_047_238,0.0049342327
G15_Y2_009_045,0.004932477
G09_Y1_GX1_245,0.004932002
G15_Y2_009_329,0.004929139
G15_Y4_232_389,0.0049290117
G09_Y4_261_395,0.004928934
G15_Y1_HN2_004,0.0049245902
G12_Y1_BX1_011,0.004924421
G12_Y6_051_279,0.0049240966
G12_Y3_034_036,0.0049240678
G15_Y6_075_001,0.0049222726
G12_Y2_019_052,0.0049212603
G12_Y1_IS2_318,0.004919502
G09_Y1_BS1_129,0.004919037
G15_Y4_203_204,0.004917736
G09_Y1_BN1_006,0.0049140602
G02_Y3_018_195,0.0049087135
G15_Y3_003_076,0.0049085952
G09_Y2_004_076,0.0049076313
G09_Y1_AX1_004,0.004905777
G02_Y3_015_081,0.004905079
G15_Y2_013_289,0.0049030734
G15_Y1_HN1_241,0.0049019237
G15_Y2_020_191,0.0048955097
G12_Y1_DX2_072,0.004894244
G15_Y2_013_010,0.0048933374
G12_Y1_FND1_352,0.0048912857
G15_Y5_029_209,0.00489087
G15_Y2_020_045,0.004889273
G15_Y3_032_068,0.004888989
G09_Y1_FS1_037,0.004885266
G15_Y1_HN2_184,0.004885091
G09_Y5_053_224,0.0048850733
G15_Y1_DS2_145,0.004883874
G02_Y6_005_014,0.004883651
G15_Y4_209_012,0.004882741
G12_Y6_057_003,0.004881284
G15_Y1_AN2_168,0.0048809685
G12_Y5_023_184,0.004880116
G12_Y1_CS1_048,0.0048759845
G12_Y3_044_219,0.004874727
G15_Y1_DS2_124,0.0048739975
G15_Y4_222_105,0.0048726085
G12_Y6_050_137,0.004872336
G12_Y6_041_098,0.0048713745
G09_Y4_215_367,0.0048698923
G15_Y3_001_208,0.00486828
G09_Y4_237_365,0.0048676394
G09_Y4_227_330,0.0048676236
G15_Y2_009_397,0.0048674885
G09_Y1_FN2_260,0.0048654787
G02_Y6_003_185,0.004863313
G15_Y3_008_048,0.004861405
G15_Y2_003_377,0.0048612882
G15_Y1_FS2_394,0.0048611476
G15_Y1_AS2_132,0.0048564686
G12_Y2_005_319,0.0048522977
G12_Y5_001_063,0.004850501
G15_Y3_008_286,0.004849073
G02_Y3_009_191,0.0048477547
G12_Y3_044_217,0.0048470953
G15_Y6_089_377,0.004846003
G09_Y2_010_275,0.004840881
G12_Y1_GS2_087,0.0048402436
G12_Y1_BN1_026,0.0048400406
G12_Y4_202_215,0.00483868
G09_Y4_212_263,0.0048365975
G09_Y4_226_310,0.00483217
G15_Y1_BN2_274,0.004831928
G15_Y1_HS1_277,0.0048313416
G15_Y6_100_376,0.004831109
G12_Y3_012_068,0.0048305863
G12_Y1_DX1_349,0.0048288805
G02_Y3_014_133,0.004828821
G12_Y2_025_279,0.0048284447
G09_Y4_212_101,0.004828102
G15_Y6_101_055,0.0048249867
G12_Y6_051_141,0.0048242686
G12_Y2_002_274,0.004822813
G15_Y2_020_294,0.0048219245
G12_Y4_209_279,0.0048151007
G02_Y3_015_133,0.0048149014
G02_Y3_009_103,0.0048113693
G15_Y2_012_289,0.0048099244
G02_Y4_043_235,0.0048050443
G15_Y4_202_372,0.0048045246
G15_Y4_229_193,0.0048037153
G15_Y1_BN1_207,0.0048025143
G02_Y5_109_289,0.0047993036
G12_Y1_ES1_201,0.0047954516
G15_Y2_004_397,0.0047952877
G12_Y3_019_136,0.004790999
G12_Y6_041_115,0.004789509
G09_Y4_227_270,0.0047889207
G15_Y3_047_072,0.0047863517
G02_Y3_020_197,0.004781411
G15_Y2_023_146,0.004777815
G02_Y5_072_110,0.004777563
G15_Y1_BN2_076,0.004773124
G02_Y3_019_057,0.004772667
G15_Y2_007_068,0.004772486
G12_Y2_008_054,0.0047722706
G12_Y3_035_367,0.004772096
G15_Y3_008_103,0.0047621084
G15_Y5_022_053,0.004761746
G15_Y4_216_094,0.0047615655
G15_Y3_038_266,0.0047592046
G12_Y4_206_387,0.004751875
G02_Y4_001_176,0.0047506117
G15_Y3_016_003,0.004750142
G09_Y4_225_364,0.0047496166
G09_Y2_029_202,0.004749601
G15_Y5_029_005,0.0047484245
G15_Y3_008_329,0.004746933
G09_Y1_GS2_053,0.004745939
G15_Y1_CN2_210,0.004744976
G12_Y5_003_269,0.0047422173
G15_Y6_091_387,0.0047405465
G15_Y3_051_362,0.0047396473
G15_Y2_019_385,0.004739043
G15_Y4_204_218,0.004737372
G15_Y6_083_086,0.004736977
G15_Y5_032_063,0.004736799
G12_Y1_CN1_203,0.0047365334
G09_Y2_015_009,0.0047313264
G15_Y2_007_124,0.0047304034
G12_Y6_043_170,0.0047297385
G15_Y6_102_217,0.004729317
G09_Y4_230_378,0.004723546
G15_Y2_001_126,0.0047226665
G15_Y2_005_172,0.004718348
G02_Y3_019_373,0.0047151847
G09_Y1_BS1_339,0.004714283
G15_Y3_051_199,0.004713252
G15_Y1_DS1_251,0.0047124764
G15_Y2_001_104,0.0047119907
G02_Y4_001_233,0.0047107497
G02_Y5_058_237,0.004709716
G02_Y3_009_135,0.0047094338
G15_Y4_211_067,0.0047071995
G15_Y3_050_265,0.00470623
G15_Y4_202_153,0.0047061387
G15_Y6_089_384,0.0047061145
G09_Y1_AS1_165,0.004705701
G15_Y1_DN2_024,0.004704653
G09_Y1_IN2_084,0.0047037746
G15_Y1_FS2_058,0.0047018426
G09_Y1_GN1_312,0.004701621
G02_Y4_030_369,0.004700822
G15_Y3_034_287,0.004700067
G15_Y2_021_129,0.0046997075
G15_Y6_073_391,0.0046921833
G09_Y1_FS2_387,0.0046896804
G15_Y5_034_052,0.004687476
G12_Y3_001_032,0.0046841344
G09_Y1_DN2_119,0.004677904
G09_Y1_GN2_255,0.004676601
G02_Y3_009_139,0.004676221
G02_Y5_077_348,0.0046731643
G15_Y1_DS2_105,0.0046713576
G15_Y2_023_353,0.004667346
G15_Y1_AS2_298,0.0046665277
G12_Y2_028_378,0.0046641384
G15_Y2_017_365,0.0046630073
G12_Y1_HS1_244,0.0046616965
G12_Y3_015_301,0.0046573593
G02_Y4_043_036,0.0046527274
G15_Y1_CN2_311,0.004652624
G15_Y2_013_007,0.004652501
G12_Y5_020_105,0.00465245
G09_Y1_AS2_342,0.0046501644
G09_Y1_GX1_206,0.0046497826
G12_Y2_039_010,0.0046482272
G15_Y4_235_363,0.004645885
G15_Y6_086_359,0.0046455953
G15_Y3_037_024,0.004644864
G02_Y5_082_016,0.0046447404
G15_Y3_033_216,0.0046421723
G09_Y1_HS2_389,0.0046407036
